学号                 姓名           性别   班级号 专业
2101230301    张五五        男      2103    大数据
2101230301    张宏伟        男      2103      英语
2103230411    徐大雨        女      2101    给排水
2104230401    马大存        男      2101    计算机
2104230414    张清晨        男      2101    计算机
2104230415    李永春        男      2104    非金属
2104230419    吴文舜        男      2104    非金属
2104230430    熊建洋        男      2101    计算机
2104240116    杨奕轩        男      2102    计算机
2104240127    常治远        男      2101    计算机
2108230414    小梁女        女      2108      机械
